Dodge;441.677
Dooly;410.278
Dougherty;4.218.613
Douglas;3.606.564
Early;501.585
Echols;50.099
Effingham;1.585.412
Elbert;565.207
Emanuel;618.297
Evans;363.112
Fannin;574.225
Fayette;4.097.800
Floyd;3.971.725
Forsyth;8.275.159
Franklin;853.237
Fulton;141.764.735
Gilmer;762.664
Glascock;34.299
Glynn;3.476.255
Gordon;1.897.104
Grady;551.314
Greene;555.533
Gwinnett;41.652.023
Habersham;1.327.163
Hall;8.439.076
Hancock;151.649
Haralson;697.286
Harris;452.329
Hart;738.431
Heard;1.216.822
Henry;4.945.322
Houston;5.771.846
Irwin;163.684
Jackson;2.438.222
Jasper;223.331
Jeff Davis;331.303
Jefferson;511.036
Jenkins;169.480
Johnson;127.048
Jones;405.862
Lamar;371.891
Lanier;117.589
Laurens;1.572.937
Lee;596.993
Liberty;3.204.838
Lincoln;125.901
Long;121.576
Lowndes;4.323.488
Lumpkin;620.563
McDuffie;592.173
McIntosh;166.924
Macon;455.665
Madison;437.994
Marion;99.509
Meriwether;512.243
Miller;183.724
Mitchell;770.663
Monroe;1.621.954
Montgomery;152.020
Morgan;637.375
Murray;1.233.272
Muscogee;9.278.245
Newton;2.309.449
Oconee;1.090.797
Oglethorpe;291.629
Paulding;2.108.484
Peach;800.764
Pickens;870.614
Pierce;377.637
Pike;268.356
Polk;1.085.091
Pulaski;268.821
Putnam;444.639
Quitman;41.281
Rabun;435.379
Randolph;173.351
Richmond;11.224.786
Rockdale;3.312.681
Schley;95.482
Screven;287.818
Seminole;256.262
Spalding;1.843.342
Stephens;869.369
Stewart;102.819
Sumter;1.012.242
Talbot;130.420
Taliaferro;34.051
Tattnall;648.171
Taylor;192.885
Telfair;330.024
Terrell;242.658
Thomas;1.929.716
Tift;1.676.795
Toombs;914.243
Towns;293.482
Treutlen;107.836
Troup;3.183.428
Turner;201.961
Twiggs;220.976
Union;623.902
Upson;622.834
Walker;1.303.035
Walton;2.072.717
Ware;1.317.338
Warren;157.438
Washington;571.069
Wayne;713.985
Webster;49.799
Wheeler;117.227
White;660.454
Whitfield;5.250.409
Wilcox;149.215
Wilkes;341.097
Wilkinson;449.558
Worth;334.231
Hawaii;7.365.410
Honolulu;59.331.111
Kauai;3.504.351
Maui + Kalawao;8.893.249
Ada;22.543.391
Adams;115.991
Bannock;2.623.462
Bear Lake;168.667
Benewah;291.546
Bingham;1.164.800
Blaine;1.266.953
Boise;139.622
Bonner;1.265.981
Bonneville;4.444.638
Boundary;309.404
Butte;972.067
Camas;64.760
Canyon;4.868.261
Caribou;509.764
Cassia;1.588.151
Clark;52.130
Clearwater;338.493
Custer;186.356
Elmore;1.192.003
Franklin;334.457
Fremont (includes Yellowstone National Park);311.515
Gem;306.104
Gooding;1.176.354
Idaho;398.029
Jefferson;631.790
Jerome;1.229.041
Kootenai;5.127.315
Latah;1.180.503
Lemhi;222.378
Lewis;134.555
Lincoln;269.997
Madison;1.041.570
Minidoka;728.361
Nez Perce;1.920.067
Oneida;128.172
Owyhee;450.002
Payette;743.524
Power;322.179
Shoshone;554.696
Teton;267.471
Twin Falls;3.262.656
Valley;407.561
Washington;396.402
Adams;3.398.291
Alexander;171.683
Bond;517.244
Boone;1.567.979
Brown;405.764
Bureau;1.235.834
Calhoun;86.606
Carroll;661.824
Cass;587.543
Champaign;10.213.977
Christian;1.510.190
Clark;540.661
Clay;539.414
Clinton;1.039.878
Coles;2.213.488
Cook;353.293.447
Crawford;1.844.618
Cumberland;744.564
DeKalb;3.752.020
De Witt;1.193.119
Douglas;1.091.099
DuPage;79.755.132
Edgar;725.136
Edwards;259.657
Effingham;1.831.600
Fayette;512.166
Ford;655.023
Franklin;1.028.961
Fulton;908.476
Gallatin;232.590
Greene;331.392
Grundy;3.349.216
Hamilton;291.398
Hancock;565.807
Hardin;86.030
Henderson;189.205
Henry;1.427.617
Iroquois;1.300.163
Jackson;2.364.709
Jasper;525.282
Jefferson;1.740.916
Jersey;492.085
Jo Daviess;789.122
Johnson;217.127
Kane;22.366.835
Kankakee;4.941.688
Kendall;2.858.148
Knox;1.812.257
Lake;52.800.786
LaSalle;5.381.397
Lawrence;544.111
Lee;1.407.838
